Fe,Cu,species,Si_Al,calcination_temp,calcination_time,Aging_O2,Aging_H2O,Aging_CO2,Aging_Temp,Aging_Time,NO,NH3,O2,H2O,GHSV,Measurement_Temp,Conversion
5.0,0.0,ZSM-5,11.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,300.0,75.7485029940119
5.0,0.0,ZSM-5,11.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,348.739495798319,90.7185628742514
5.0,0.0,ZSM-5,11.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,400.0,94.0119760479041
5.0,0.0,ZSM-5,11.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,451.26050420168,93.1137724550898
5.0,0.0,ZSM-5,11.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,499.999999999999,93.4131736526946
5.0,0.0,ZSM-5,11.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,550.420168067226,83.5329341317365
7.5,0.0,ZSM-5,11.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,200.0,25.1497005988023
7.5,0.0,ZSM-5,11.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,250.420168067226,50.0
7.5,0.0,ZSM-5,11.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,300.840336134453,78.443113772455
7.5,0.0,ZSM-5,11.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,348.739495798319,92.2155688622754
7.5,0.0,ZSM-5,11.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,400.0,94.9101796407185
7.5,0.0,ZSM-5,11.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,450.420168067226,93.4131736526946
7.5,0.0,ZSM-5,11.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,499.999999999999,91.6167664670658
7.5,0.0,ZSM-5,11.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,550.420168067226,80.8383233532934
2.5,0.0,ZSM-5,25.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,200.0,4.12979351032449
2.5,0.0,ZSM-5,25.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,249.079754601226,20.9439528023598
2.5,0.0,ZSM-5,25.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,300.613496932515,47.787610619469
2.5,0.0,ZSM-5,25.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,349.693251533742,84.9557522123894
2.5,0.0,ZSM-5,25.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,400.40899795501,84.070796460177
2.5,0.0,ZSM-5,25.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,450.306748466257,82.0058997050147
